"序号","算法","文件名","哈希值","文件大小","最后修改时间","创建时间","路径","时间状态","校验人","校验时间","校验人GPG密钥ID","校验人GPG密钥创建时间","获取公钥路径"
"1","SHA256","1543887505069.jpg","8C6E808A1C03C010BE8FF6B3C9FD649D740EAC790D576BE869F924E486E4B47B","140.09 KB","2025年8月6日  11:19:09","2025年8月6日  11:19:09","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"2","SHA256","IMG20181130140632.jpg","C1D3F0D9050D90AB0697CDE7DD925A7FC61BFD5A8CEA355EB862C4C3237DB3D7","2.12 MB","2025年8月6日  11:19:09","2025年8月6日  11:19:09","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"3","SHA256","IMG20181130140638.jpg","905B49719C2F92B457881CD3A2A7DA56C2348EE7A42480DDCAB3C94C8E40B850","2.04 MB","2025年8月6日  11:19:10","2025年8月6日  11:19:10","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"4","SHA256","IMG20181130140714.jpg","FD9A9153ED0D62F247E46E1CF5C90973B9770902518F95124DAC65880057EF5A","3.50 MB","2025年8月6日  11:19:10","2025年8月6日  11:19:10","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"5","SHA256","IMG20181203104222.jpg","7C255ACEF5A8BBA1799B0F46FCFCA8ED6F3BD207AD887633F44C4D6DF7BBCABD","2.25 MB","2025年8月6日  11:19:10","2025年8月6日  11:19:10","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"6","SHA256","IMG20181203134336.jpg","9DBB87890C051A46FB7E399C3E720780EFE3DC1C2DB2F99E1D30D64096FD4C24","2.81 MB","2025年8月6日  11:19:11","2025年8月6日  11:19:11","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"7","SHA256","IMG20181203134345.jpg","49C3EDE134F23CA5D496F59D5CF5925F0E5B1279F75B49906B6F6B9372601B59","2.47 MB","2025年8月6日  11:19:11","2025年8月6日  11:19:11","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"8","SHA256","IMG20181205124206.jpg","9C753C8C2F0012ABDDE2B041AEE27058E942EF9F6392A731A77E7EE9D15BBD33","3.20 MB","2025年8月6日  11:19:11","2025年8月6日  11:19:11","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:37","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"9","SHA256","IMG20181209204353.jpg","89FC894E79D246A6D69AF00FE340C0292A6906BF8B0C2C443E8A2142D3E5B46E","3.65 MB","2025年8月6日  11:19:12","2025年8月6日  11:19:12","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:38","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"10","SHA256","IMG20190103200042.jpg","9CB2ECE2B5F37E3926CFCB5A2A9F1D5E9E762A1A77E4E34D5824A12B49DDEBC0","3.84 MB","2025年8月6日  11:19:12","2025年8月6日  11:19:12","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:38","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"11","SHA256","scan_camera_1543926604704.jpg","CDB3A3D4C68AEC055320EC604495D6515B827E5875EADB473FBA663FDAE145E7","241.08 KB","2025年8月6日  11:19:13","2025年8月6日  11:19:13","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:38","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"12","SHA256","scan_camera_1543926605240.jpg","CDB3A3D4C68AEC055320EC604495D6515B827E5875EADB473FBA663FDAE145E7","241.08 KB","2025年8月6日  11:19:13","2025年8月6日  11:19:13","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:38","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
"13","SHA256","Screenshot_2018-11-27-21-19-24-30.png","49D146DE38032024A67ACF6AB528B9CBB3EA83A7FEBF1D840C99C3DC3DA8A7DC","169.23 KB","2025年8月6日  11:19:14","2025年8月6日  11:19:14","K:\Public-to-specific-objects","正常","王贵平","2025年8月7日  12:35:38","私钥ID: 4BC2688A6D179053F19BC5B22FFCAC976FECA20A; 公钥ID: 839C 460C BDE4F58A75BE482C8342EA941D2E1425","2025年8月1日  20:39:00","https://myphone138.github.io"
